section,category,value,unit
Festival Overview,Total Detected Festivals,29,count
Festival Overview,Rock Festivals Share,26,percent
Festival Overview,Electronic Festivals Share,20,percent
Festival Overview,Pop Festivals Share,16,percent
Festival Overview,Other Festivals Share,38,percent
Festival Overview - Rock,Huge,91,percent
Festival Overview - Rock,Medium,9,percent
Festival Overview - Rock,Other sizes,0,percent
Festival Overview - Electronic,Medium,43,percent
Festival Overview - Electronic,Big,40,percent
Festival Overview - Electronic,Small,17,percent
Festival Overview - Electronic,Other sizes,0,percent
Festival Overview - Pop,Mega,44,percent
Festival Overview - Pop,Huge,39,percent
Festival Overview - Pop,Small,9,percent
Festival Overview - Pop,Other sizes,8,percent
