Festival,Year,Festival_Month,Festival_Month_Num,Subgenre,Parent_Genre,Points
Ultra Music Festival Miami,2025,March,3,Dance,Electronic,122.53
Ultra Music Festival Miami,2025,March,3,Mainstream Pop,Pop,47.72
Ultra Music Festival Miami,2025,March,3,Trance,Electronic,33.12
Ultra Music Festival Miami,2025,March,3,House,Electronic,22.93
Ultra Music Festival Miami,2025,March,3,Tech House,Electronic,17.23
Ultra Music Festival Miami,2025,March,3,Dubstep,Electronic,16.93
Ultra Music Festival Miami,2025,March,3,Techno,Electronic,14.49
Ultra Music Festival Miami,2025,March,3,Trap/Future Bass,Electronic,12.79
Ultra Music Festival Miami,2025,March,3,Melodic Techno,Electronic,8.74
Ultra Music Festival Miami,2025,March,3,Other Electronic Music,Electronic,6.44
Ultra Music Festival Miami,2024,March,3,Dance,Electronic,221.42
Ultra Music Festival Miami,2024,March,3,Mainstream Pop,Pop,119.09
Ultra Music Festival Miami,2024,March,3,Trance,Electronic,31.45
Ultra Music Festival Miami,2024,March,3,Electro House,Electronic,25.24
Ultra Music Festival Miami,2024,March,3,House,Electronic,22.47
Ultra Music Festival Miami,2024,March,3,Melodic Techno,Electronic,11.87
Ultra Music Festival Miami,2024,March,3,Techno,Electronic,10.05
Ultra Music Festival Miami,2024,March,3,Drum & Bass,Electronic,7.77
Ultra Music Festival Miami,2024,March,3,Deep House,Electronic,7.20
Ultra Music Festival Miami,2024,March,3,Dubstep,Electronic,6.94
Ultra Music Festival Miami,2023,March,3,Dance,Electronic,222.25
Ultra Music Festival Miami,2023,March,3,Mainstream Pop,Pop,100.44
Ultra Music Festival Miami,2023,March,3,Trance,Electronic,32.12
Ultra Music Festival Miami,2023,March,3,House,Electronic,24.13
Ultra Music Festival Miami,2023,March,3,Techno,Electronic,9.94
Ultra Music Festival Miami,2023,March,3,Tech House,Electronic,7.64
Ultra Music Festival Miami,2023,March,3,Dubstep,Electronic,5.56
Ultra Music Festival Miami,2023,March,3,Other Electronic Music,Electronic,5.06
Ultra Music Festival Miami,2023,March,3,Melodic Techno,Electronic,4.36
Ultra Music Festival Miami,2023,March,3,Hardstyle/Hardcore,Electronic,3.48
Ultra Music Festival Miami,2022,March,3,Dance,Electronic,191.24
Ultra Music Festival Miami,2022,March,3,Mainstream Pop,Pop,98.74
Ultra Music Festival Miami,2022,March,3,Trance,Electronic,32.82
Ultra Music Festival Miami,2022,March,3,House,Electronic,24.81
Ultra Music Festival Miami,2022,March,3,Tech House,Electronic,23.57
Ultra Music Festival Miami,2022,March,3,Dubstep,Electronic,7.48
Ultra Music Festival Miami,2022,March,3,Techno,Electronic,7.21
Ultra Music Festival Miami,2022,March,3,Trap/Future Bass,Electronic,6.28
Ultra Music Festival Miami,2022,March,3,Alternative Hip Hop,Hip Hop,4.86
Ultra Music Festival Miami,2022,March,3,Indie Pop,Pop,4.87
Ultra Music Festival Miami,2019,March,3,Dance,Electronic,250.23
Ultra Music Festival Miami,2019,March,3,Mainstream Pop,Pop,131.79
Ultra Music Festival Miami,2019,March,3,Trance,Electronic,32.08
Ultra Music Festival Miami,2019,March,3,House,Electronic,19.61
Ultra Music Festival Miami,2019,March,3,Techno,Electronic,9.38
Ultra Music Festival Miami,2019,March,3,Other Electronic Music,Electronic,5.39
Ultra Music Festival Miami,2019,March,3,Trap/Future Bass,Electronic,5.26
Ultra Music Festival Miami,2019,March,3,Dubstep,Electronic,4.79
Ultra Music Festival Miami,2019,March,3,Deep House,Electronic,4.29
Ultra Music Festival Miami,2019,March,3,Tech House,Electronic,7.27
Ultra Music Festival Miami,2018,March,3,Dance,Electronic,277.32
Ultra Music Festival Miami,2018,March,3,Mainstream Pop,Pop,92.18
Ultra Music Festival Miami,2018,March,3,Trance,Electronic,45.19
Ultra Music Festival Miami,2018,March,3,Electro House,Electronic,27.80
Ultra Music Festival Miami,2018,March,3,House,Electronic,14.90
Ultra Music Festival Miami,2018,March,3,Indie Pop,Pop,19.68
Ultra Music Festival Miami,2018,March,3,Contemporary Hip Hop,Hip Hop,10.21
Ultra Music Festival Miami,2018,March,3,Tech House,Electronic,4.47
Ultra Music Festival Miami,2018,March,3,Trap/Future Bass,Electronic,5.37
Ultra Music Festival Miami,2018,March,3,Techno,Electronic,5.02
