Festival,Festival_Month,Festival_Month_Num,Rank,Country,Alltime_Audience_M
Wireless Festival - Finsbury Park,July,7,1,USA,1100.0
Wireless Festival - Finsbury Park,July,7,2,NGA,138.6
Wireless Festival - Finsbury Park,July,7,3,GBR,131.0
Wireless Festival - Finsbury Park,July,7,4,BRA,108.2
Wireless Festival - Finsbury Park,July,7,5,ZAF,62.9
Wireless Festival - Finsbury Park,July,7,6,CAN,55.9
Wireless Festival - Finsbury Park,July,7,7,FRA,49.8
Wireless Festival - Finsbury Park,July,7,8,IND,49.7
Wireless Festival - Finsbury Park,July,7,9,MEX,37.4
Wireless Festival - Finsbury Park,July,7,10,ITA,35.8
